Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,overallrating,potential,jumping,standingtackle,slidingtackle,understat_xg,strength,agility,volleys,headingaccuracy,longshots,understat_matches,understat_assists,crossing,understat_shots,ballcontrol,acceleration,vision,Valor de mercado actual (numérico),Cluster,Valor_Predicho
Folarin Jolaoluwa Jerry Balogun,29.0,133,2,7,14.0,30/06/2028,30/08/2023,1.6422614106978242,-0.3700990472611269,-0.2725174643195482,-0.2736007197021602,-0.2259953390452402,-0.3732977778281686,0.4458984193701703,0.740730146423381,1.242543747811272,-1.7674859306943038,-1.6098618286106092,2.970425941641889,0.3313155647534601,0.6627948068859366,1.4092509110853155,0.8433984745415016,0.8417819324531532,0.5916916890169024,1.5730431479160747,0.0477157228762956,2.142547472062624,0.5489117490767338,0.9679874445445906,-0.0842997379894837,20000000.0,1,19709502.0
Jonathan David Henry Rowe,46.0,209,2,62,,30/06/2025,23/08/2024,0.2483482204242962,-0.1288140286190501,-0.1724057390846044,-0.1201300327930406,-0.4716139691807754,-0.1371847925941191,0.965190056835432,0.33943889402701,0.3016029048604901,0.8235626757470519,0.8704452318328809,-0.2789428902484168,-0.5289762008091169,1.13391215540356,0.3747563339309261,0.1901465578923404,0.6573801305020872,0.3971646642197643,1.111168323494216,1.326518081435618,0.3763481102110401,0.659377513756231,1.1646973208293927,0.8429593384968296,12000000.0,1,11694500.0
بدر الدين بوعناني,32.0,43,2,59,14.0,30/06/2029,07/07/2022,-0.2162895096668798,-0.3700990472611269,-0.5227967774069076,-0.4270714066112797,-0.1768716130181332,-0.1371847925941191,-0.5926848555603532,0.5400845202251955,-1.4861846967459953,-0.960438004097816,-1.0111670209173529,-0.2858212082105371,-1.4752971429279516,0.7973997636052575,0.4732796269932489,-0.6641059484950242,0.3807774275754881,-0.478206947367357,-0.7363309741932195,0.5887474899590859,-0.0419622649643351,0.383213102057488,0.3122878569285833,0.4149936108877619,5000000.0,0,4950524.0
gaetan-laborde,32.0,140,2,59,6.0,30/06/2026,01/09/2022,0.7129859505154722,-0.1770710323474654,-0.1223498764671326,-0.4270714066112797,-0.1768716130181332,-0.4205203748749785,0.6189956318585909,-0.0618523583693609,1.33663783210635,-0.960438004097816,-1.310514424763981,1.6902571423304422,0.5033739178659755,0.8647022419649181,1.7048207902722845,1.2956498014524591,0.9339828334286864,1.0780092510097476,0.1874186746504982,0.8838557265496987,2.003110680337499,0.7146103960959796,0.2467178981669826,1.0569422023013637,6000000.0,1,5991822.0
jeremie-boga,32.0,90,2,59,,30/06/2027,25/07/2023,0.4032274637880215,-0.1288140286190501,-0.4727409147894356,-0.4270714066112797,-0.1768716130181332,-0.0899621955473092,0.4458984193701703,-0.2624979845675464,0.3956969891555683,-0.5356759374680855,-0.8401113615764226,0.8082853827041466,-0.4429470242528591,1.4704245472018629,0.5718029200555718,0.0393961155886878,0.8878823829409198,0.4944281766183333,2.0349179723379334,0.7363016082543923,0.8876163465364987,0.7698432784357282,1.4925471146373963,0.4149936108877619,12000000.0,1,10685793.0
سفيان داودا ديوب,32.0,255,2,59,14.0,30/06/2027,29/08/2022,0.8678651938791975,-0.1770710323474654,-0.2224616017020763,-0.4782283022476529,-0.4224902431536684,-0.4205203748749785,0.4458984193701703,0.740730146423381,-2.050749202516464,0.0589909558135371,-0.3269443835536315,-0.2430499519377114,-2.765734791271817,1.13391215540356,0.6703262131178945,-0.9656068331023294,0.8417819324531532,-1.2563150465559094,-0.7363309741932195,0.9822251387465696,-0.2743569178395435,0.7698432784357282,0.90241748578299,0.9856145810331854,12000000.0,1,13311336.0
mohamed-ali-cho,32.0,159,2,59,14.0,30/06/2028,08/01/2024,-0.0614102663031544,-0.4183560509895422,-0.5728526400243794,-0.5805420935203993,-0.5207376952078825,-0.5149655689685982,0.0997039943933291,0.740730146423381,0.3016029048604901,-1.4701524840534923,-1.4388061692696787,-0.535688757964247,-0.6150053773653745,0.3935848934472946,0.1777097478062804,0.340897000195993,0.5651792295265542,-1.1590515341573402,-0.7363309741932195,0.293639253368473,-0.7856251541650021,0.6041446314164824,0.9679874445445906,0.4149936108877619,15000000.0,1,14696991.0
evann-guessand,32.0,90,2,59,,30/06/2028,01/07/2020,-0.3324489421896738,-0.514870058446373,-0.3726291895544919,-0.5293851978840262,-0.5698614212349895,-0.6094107630622181,0.6189956318585909,0.9413757726215664,1.713014169286663,-1.4276762773905194,-1.524333998940144,2.176614509561172,1.2776365068722948,0.5954923285262761,1.1136810318983472,0.8936486219760524,0.8417819324531532,1.0780092510097476,-0.7363309741932195,0.7854863143528278,1.305926721711874,0.7146103960959796,0.7712775682597884,0.3436659896195839,25000000.0,1,23071504.0
youssoufa-moukoko,12.0,13,2,59,6.0,30/06/2025,28/08/2024,0.0934689770605708,-0.2253280360758808,-0.2224616017020763,-0.3247576153385333,-0.3733665171265614,-0.2316299866877389,-0.0733932180950914,0.5400845202251955,0.6779792420408028,-1.0878666240867352,-1.224986595093516,0.422286701223696,-0.0128011414715706,1.268517112122881,1.4585125576164772,0.4916474424996455,0.6112796800143208,-0.2836799225702189,-0.7363309741932195,-0.4933160442064945,-0.2743569178395435,0.7146103960959796,0.9679874445445906,-0.2982826017940176,10000000.0,1,10987438.0
victor-orakpo,,262,2,59,,30/06/2028,01/07/2024,,-0.4183560509895422,-0.4226850521719638,-0.3247576153385333,-0.2259953390452402,-0.3732977778281686,-2.4967541929329795,-0.2624979845675464,0.1134147362703337,-1.4701524840534923,-1.524333998940144,,-0.3569178476966014,-0.0775324550703289,0.2269713943374418,0.3911471476305438,-0.0341266268144104,,,-0.4933160442064945,,-0.6662116623977351,0.377857815690184,-1.1542140570121528,500000.0,0,263946.4375
