Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,overallrating,potential,jumping,acceleration,understat_minutes,headingaccuracy,longshots,strength,understat_matches,understat_xa,crossing,understat_yellow_cards,understat_xg,penalties,ballcontrol,standingtackle,balance,volleys,Valor de mercado actual (numérico)
Paweł Marek Dawidowicz,71.0,289,1,45,6.0,30/06/2025,01/07/2019,,-0.514870058446373,-0.32257332693702,-0.4782283022476529,-0.3242427910994543,-0.2316299866877389,-0.4195876430719326,-1.0650804893602883,-0.4511497695001353,-2.0482306584890426,0.655804778538242,0.4916474424996455,-0.4029302307165425,0.8474906240910064,0.4944281766183333,-0.8029231335844261,-0.6408701625018008,0.6775416603165617,-0.5613272258075032,-0.4190502777940373,-0.1138828390002492,0.7386102624211058,-1.1724219761373316,-0.5119533036299793,2500000.0
Flavius David Daniliuc,6.0,50,1,45,,30/06/2025,30/08/2024,-0.3711687530306051,-0.1770710323474654,-0.32257332693702,-0.5293851978840262,-0.5698614212349895,-0.5149655689685982,-0.246490430583512,0.1387932678288245,0.3016029048604901,-1.7859508234426398,-0.8720301075173648,0.8433984745415016,-0.7256333841309082,1.2776365068722948,-0.8672609969616332,-0.715417692867633,-0.2965772198127526,-0.4276664246482259,-0.6477736537335834,-1.1800091186812955,-0.1138828390002492,0.6536578490951598,-1.1724219761373316,-0.7089998897546249,4000000.0
luan-patrick,8.0,60,1,45,,30/06/2026,23/02/2025,-0.5802557315716343,-0.4666130547179576,-0.2725174643195482,-0.6316989891567725,-0.3733665171265614,-0.184407389640929,-2.842948617909821,-1.8676629941530305,-1.3920906124509171,-0.6712615244954275,,-0.1113543267149647,-1.2788387899841065,-1.2172096132591783,,,-0.9851631051908492,,,-0.5946561641526354,-1.6051706621734612,0.4412768157802945,-0.8441620303038742,-0.955308122410432,1300000.0
yllan-okou,32.0,149,1,45,,30/06/2025,29/07/2024,-0.6112315802443794,-0.3700990472611269,-0.32257332693702,-0.4270714066112797,-0.6189851472620966,-0.184407389640929,-1.458170918002456,-0.6637892369639175,0.2075088205654119,-0.0155619368794202,,0.3911471476305438,-1.1866378890085734,0.3313155647534601,,,-0.8376089868955428,,,-0.4190502777940373,-0.555745897718238,0.3988006091173214,-0.5159020844704167,-1.300139648128562,900000.0
tobias-slotsager,22.0,96,1,45,,-,03/02/2025,-0.5260479963943305,-0.1770710323474654,-0.3726291895544919,-0.4270714066112797,-0.5207376952078825,-0.5149655689685982,-0.9388792805371944,0.740730146423381,0.0193206519752555,0.0500080218821804,,0.5921477373687473,-1.509341042422939,-0.0128011414715706,,,-1.0343478112892843,,,-1.1800091186812955,-0.279581486019495,0.5262292291062406,-0.7128580519704912,-0.7089998897546249,2000000.0
Marco Davide Faraoni,53.0,224,1,45,6.0,30/06/2025,01/07/2019,-0.5260479963943305,-0.3218420435327115,-0.4727409147894356,-0.222443824065787,-0.2751190650723473,-0.1371847925941191,-0.4195876430719326,-1.2657261155584738,-0.0747734323198225,0.0500080218821804,-0.5852905573723678,0.5418975899341965,0.9800832839164528,-0.2708886711403437,-0.3809434349687879,-0.4954289368211538,0.8838557265496987,0.6775416603165617,-0.518674490336684,0.8687262221690149,0.383213102057488,0.4837530224432675,0.9284416771967956,1.6062974972099613,1000000.0
stefano-sabelli,53.0,224,1,44,6.0,30/06/2026,20/07/2021,,-0.3700990472611269,-0.4226850521719638,-0.3759145109749066,-0.5207376952078825,-0.3260751807813587,-0.5926848555603532,-1.4663717417566593,-0.7334320223853699,0.0500080218821804,1.0312712838224458,0.0393961155886878,-0.3107293297410095,-0.9591220835904054,0.8834822262126095,0.4013376020614612,0.3920086655653439,0.6775416603165617,-0.4300736266917422,-0.1849090959825733,-0.3348143683592436,0.5262292291062406,0.8627896880301041,-0.5612149501611408,1500000.0
koni-de-winter,11.0,67,1,44,,30/06/2028,01/07/2024,0.2483482204242962,-0.2735850398042961,-0.4727409147894356,-0.3247576153385333,-0.3733665171265614,-0.4677429719217884,-0.0733932180950914,1.1420213988197518,0.8661674106309593,-0.1467018544026217,0.9144113916878808,0.8936486219760524,-0.4029302307165425,0.5033739178659755,0.5916916890169024,-0.3897934317685347,0.0969004289747311,1.0459443553048242,-0.5274606659847082,-0.0678385050768413,-0.003417074320752,0.9509912957359712,-0.7128580519704912,-0.3149067175053336,18000000.0
Johan Felipe Vásquez Ibarra,63.0,260,1,44,6.0,30/06/2027,03/01/2022,-0.4021446017033502,-0.4183560509895422,-0.2725174643195482,-0.5293851978840262,-0.2751190650723473,-0.3732977778281686,0.0997039943933291,-0.0618523583693609,0.3016029048604901,-0.5401216069722261,1.4121479692980643,0.8433984745415016,-1.324939240471873,0.2452863881972024,1.369799788205455,-0.373134123644284,0.2444545472700375,1.0459443553048242,-0.079469422628461,-0.3605149823411713,-0.1138828390002492,0.8235626757470519,-0.0563381603035764,-0.955308122410432,12000000.0
Aarón Martín Caricol,28.0,113,1,44,,30/06/2026,03/07/2023,-0.1388498879850171,-0.3218420435327115,-0.1724057390846044,-0.3759145109749066,-0.2751190650723473,-0.2788525837345488,-0.0733932180950914,-0.8644348631621029,-0.2629616009099789,0.1155779806437811,-0.1568042862122967,0.3911471476305438,0.5190787790387877,-0.7010345539216323,-0.0891528977730808,-0.0375281273966781,1.2773333753371825,-0.4276664246482259,-0.6320870735676388,-0.0678385050768413,0.6041446314164824,0.6536578490951598,0.6658337205300298,-0.1671217779118494,6500000.0
alessandro-zanoli,53.0,224,1,44,14.0,30/06/2025,11/07/2024,,-0.1770710323474654,-0.5227967774069076,-0.222443824065787,-0.3733665171265614,-0.3260751807813587,-0.4195876430719326,0.1387932678288245,0.0193206519752555,0.0500080218821804,-0.3840318542517283,0.0896462630232386,-0.9561356365697408,0.2452863881972024,-0.2836799225702189,-0.5938348394120196,0.5887474899590859,0.3091389653282991,-0.6223466656906556,-0.2434443914354393,0.2175144550382423,0.7386102624211058,-0.9098140194705656,-0.5612149501611408,6000000.0
mattia-bani,53.0,224,1,44,,30/06/2026,05/10/2020,,-0.4183560509895422,-0.1724057390846044,-0.4782283022476529,-0.5698614212349895,-0.3260751807813587,-0.7657820680487738,-1.6670173679548448,0.0193206519752555,-1.4581010296346362,0.8386688690080704,0.6423978848032982,-1.601541943398472,0.5894030944222333,0.3971646642197643,-0.7724041973312752,-1.7229336966673812,2.151152440269612,-0.2150021809704976,-1.8238973686628217,-0.7214445447374838,0.7386102624211058,-1.10676998697064,-1.546447880784369,2000000.0
Alan Agustín Matturro Romero,92.0,356,1,44,6.0,30/06/2026,02/01/2023,-0.5492798828988893,-0.514870058446373,-0.2725174643195482,-0.5293851978840262,-0.3242427910994543,-0.184407389640929,-1.458170918002456,0.1387932678288245,-0.2629616009099789,-0.3434117306874239,-1.5547948476739426,0.4413972950650947,-1.509341042422939,-0.2708886711403437,-1.6453690961501857,-0.8221134815946767,-0.2473925137143171,-1.164471814624751,-0.6728692287331703,-0.9458679368698316,-0.5005130153784894,0.4837530224432675,-1.3693779436374058,-1.2508780015974004,8000000.0
sebastian-otoa,22.0,96,1,44,,30/06/2028,16/01/2025,-0.6344634667489382,-0.3700990472611269,-0.5728526400243794,-0.2736007197021602,-0.2751190650723473,-0.4677429719217884,-1.9774625554677177,-0.8644348631621029,-0.7334320223853699,-0.5401216069722261,,0.0393961155886878,-1.1866378890085734,-0.0988303180278283,,,-0.8376089868955428,,,-0.7702620505112334,-0.6109787800579866,0.4837530224432675,-0.9754660086372572,-1.1030930620039163,2000000.0
honest-ahanor,53.0,232,1,44,,30/06/2027,01/07/2024,-0.6034876180761931,-0.514870058446373,-0.4727409147894356,-0.1201300327930406,-0.4224902431536684,-0.4677429719217884,-3.189143042886662,-0.0618523583693609,-1.7684669496312295,-0.0155619368794202,,-0.362605063887719,-0.9561356365697408,-1.5613263194842093,,,-0.2965772198127526,,,-0.9458679368698316,-0.7766774270772323,-0.2383424908272742,-1.10676998697064,-0.7089998897546249,3000000.0
საბა გოგლიჩიძე,36.0,178,1,33,,30/06/2027,06/01/2024,-0.657695353253497,-0.2253280360758808,-0.6229085026418513,-0.3247576153385333,-0.3733665171265614,-0.4677429719217884,-1.458170918002456,-0.4631436107657319,-0.6393379380902917,-0.7368314832570283,,0.4413972950650947,-1.4632405919351723,-0.7010345539216323,,,-1.4278254600767684,,,-0.7702620505112334,-0.3348143683592436,0.4412768157802945,-0.6472060628037998,-1.300139648128562,8000000.0
luca-marianucci,53.0,224,1,33,,-,-,-0.6673753059637298,-0.1770710323474654,-0.4727409147894356,-0.2736007197021602,-0.1768716130181332,-0.5149655689685982,-2.6698514054214,-1.8676629941530305,-1.2039024438607608,-1.0646812770650318,,-0.1113543267149647,-1.2327383394963398,-0.5289762008091169,,,-1.0835325173877202,,,-0.7702620505112334,-0.5005130153784894,0.2288957824654293,-0.3845981061370338,-1.300139648128562,5000000.0
mattia-viti,53.0,224,1,33,,30/06/2025,22/07/2024,-0.1775696988259484,-0.2253280360758808,-0.32257332693702,-0.222443824065787,-0.5698614212349895,-0.3260751807813587,-0.5926848555603532,0.33943889402701,0.3016029048604901,-0.2778417719258232,-1.296188234524304,0.7931483271069507,-1.002236087057507,0.073228035084687,-0.7699974845630642,-0.630447464339246,-1.0835325173877202,-0.4276664246482259,-0.3199112451359013,-0.6531914596055014,-0.3900472506989922,0.7386102624211058,-1.0411179978039486,-0.7582615362857864,6500000.0
giuseppe-pezzella,53.0,224,1,33,,30/06/2026,31/07/2023,-0.4873281855533991,-0.3218420435327115,-0.1724057390846044,-0.5805420935203993,-0.5207376952078825,-0.2316299866877389,-0.4195876430719326,-1.0650804893602883,-0.1688675166149007,-0.0155619368794202,-0.4857432418503311,0.340897000195993,0.2424760761121886,-0.0988303180278283,-0.3809434349687879,-0.6119021676537592,0.8838557265496987,0.3091389653282991,-0.6514099000026842,-0.3605149823411713,0.1622815726984937,0.6536578490951598,-0.1219901494702679,-0.4626916570988179,2500000.0
Liberato Gianpaolo Cacace,66.0,271,1,33,,30/06/2026,01/07/2022,-0.6034876180761931,-0.2735850398042961,-0.32257332693702,-0.3759145109749066,-0.4224902431536684,-0.2788525837345488,-0.4195876430719326,-0.2624979845675464,0.4897910734506465,0.3122878569285833,0.4069364897331503,0.340897000195993,0.2424760761121886,0.5033739178659755,0.7862187138140405,0.0706201918017187,0.3428239594669085,1.0459443553048242,-0.5523608704768831,0.2248379721874887,0.0518158080189965,0.6111816424321866,0.6658337205300298,0.128448101275119,3000000.0
ardian-ismajli,96.0,3,1,33,,30/06/2025,09/08/2021,,-0.4183560509895422,-0.1724057390846044,-0.3759145109749066,-0.2751190650723473,-0.2316299866877389,-0.0733932180950914,-0.8644348631621029,0.3016029048604901,-0.081131895641021,0.5400269224419603,0.7931483271069507,-1.417140141447406,-0.0128011414715706,0.2999011518211952,-0.7780595401701805,-1.1327172234861556,-0.4276664246482259,-0.6117936366911052,-1.1800091186812955,-0.3348143683592436,0.9509912957359712,0.4032257638632638,-1.2508780015974004,6000000.0
Tyronne Efe Ebuehi,69.0,265,1,33,,30/06/2025,05/07/2022,-0.5725117694034481,-0.4666130547179576,-0.0722940138496607,-0.0689731371566674,-0.3242427910994543,-0.184407389640929,-0.0733932180950914,-0.8644348631621029,0.2075088205654119,0.7057076094981877,-0.481415097697199,0.1901465578923404,-0.6334324831553751,-0.184859494584086,-0.7699974845630642,-0.5366253975976919,0.7363016082543923,-1.164471814624751,-0.6101528641339836,-0.2434443914354393,-0.0586499566605006,0.4837530224432675,-0.1219901494702679,-0.5119533036299793,1500000.0
junior-sambia,32.0,169,1,33,,30/06/2025,30/08/2024,-0.5725117694034481,-0.4183560509895422,-0.32257332693702,-0.1712869284294138,-0.3242427910994543,-0.0899621955473092,-1.1119764930256149,-2.068308620351216,-0.4511497695001353,-0.2122718131642224,-0.5658139086832736,0.1901465578923404,0.7034805809898538,-0.5289762008091169,-0.478206947367357,-0.3498646903089358,0.5887474899590859,0.3091389653282991,-0.5326396275108909,0.4004438585460868,-0.003417074320752,0.4412768157802945,0.2719217855298809,0.4732796269932489,1400000.0
alessandro-marcandalli,53.0,232,1,103,,30/06/2025,29/01/2025,-0.5260479963943305,-0.5631270621747884,-0.4226850521719638,-0.2736007197021602,-0.5207376952078825,-0.5621881660154082,-1.458170918002456,-0.6637892369639175,0.1134147362703337,-0.5401216069722261,,0.2403967053268912,-0.4029302307165425,0.8474906240910064,,,-0.8376089868955428,,,-0.9458679368698316,-1.2185404857952211,0.3988006091173214,-0.9098140194705656,-0.4626916570988179,2000000.0
