Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
matteo-grandi,53.0,224,3,103,NULL,30/06/2025,150000.0,13/07/2023,-0.6615673343375902,1.0,NULL,NULL,-2.4967541929329795,-3.6734736299367,-1.9688572271595584,-1.704158370576561,-1.920359634358796,-2.4288994516223963,-1.5957095273155304,-2.175744693765651,-1.8843569245634928,-1.808510169656164,-2.892415503796229,-2.378431014929941,-1.523670988396237,-1.3802815369312174,-2.231211762579465,-1.420216802007103,-0.6472060628037998,-1.7096491301153969,-1.6743728653361516,-1.69551111978057,-1.3032387898154365,-1.9242450968128373,-2.012733308287709,-1.3352423985935222,2.131943510255898,-2.438111239839356,-1.6482914823042236,-1.365130006496746,-1.853549716785127,-1.8524383440202496,-1.481570084104911,1.9462371317028104,2.1301639413191014,2.1307733752073794,2.131943510255898,1.798941686325086
Филип Станковић,53.0,317,3,103,6.0,30/06/2025,6000000.0,12/08/2024,-0.2162895096668798,1.0,-1.6453690961501857,-1.5266619106785844,-0.4195876430719326,0.33943889402701,-2.2639654637501714,-2.114970525993256,-2.4228611087043044,-3.573438065844853,-2.088325992627144,-2.661731768424717,-2.2299184597508708,-1.9130918550776204,-2.4948581186393235,-3.0412256030069247,-0.6056915657338268,-1.9120589821967504,-1.6254894573425207,-0.506653504303553,-1.631985900304172,-1.1593193897719285,-1.2039024438607608,-2.69642285738692,-1.5613263194842093,-2.1086468987639035,-2.1799631107886825,-1.9434978644251195,2.5249333184727543,-3.0087322099847795,-1.882432664115688,-3.247831871023352,-2.162682721001359,-1.937390757346196,-1.823681402786772,2.57357818017221,2.680778430111292,2.591185435934738,2.5249333184727543,2.696171030214474
דניאל פרץ,52.0,223,3,17,11.0,30/06/2028,3000000.0,25/08/2023,-0.3711687530306051,1.0,-2.1316866581430305,-1.6478499469662813,-0.246490430583512,0.5400845202251955,-2.411519582045478,-2.0236789359006573,-2.372610961269753,-2.4288994516223963,-2.088325992627144,-2.418738231095184,-2.032454725358084,-2.069964383209805,-2.163560297675235,-2.6545954266286844,-2.441650411058647,-1.7126424402221756,-2.096606805860144,-0.506653504303553,-1.6976378894708632,-0.8448452524328034,-1.0157142752706043,-2.321080955784539,0.1592572116409447,-2.15474734925167,-2.291449645789331,-1.9434978644251195,2.3775621403914333,-1.5821797846212209,-2.29217973228575,-2.9910997985879058,-2.030197147765831,-2.022343170672142,-1.6953896582810744,2.718349191357456,2.8810018805811795,2.8469699141166043,2.3775621403914333,2.790616224308094
Manuel Peter Neuer,1.0,5,3,17,14.0,30/06/2026,4000000.0,01/07/2011,NULL,1.0,0.0081106146254881,0.5595035711310543,1.6575789067891142,1.1420213988197518,-2.0672266393564294,-1.79544996066916,-1.6691088971860415,-0.5437770281971733,-1.8420177599713368,-1.6411589116406786,-2.08182065895628,-1.9130918550776204,0.2880435774590168,-1.2737733681349697,-1.523670988396237,-1.4467537175894092,-1.019767152105576,1.450982133632626,-1.960245846137629,0.1771956939193522,0.3016029048604901,-1.5078401689793794,0.933519800647264,-1.7398432948617717,-1.9012467732870608,-1.118008303653666,3.360036660933574,0.3436659896195839,-0.1263738005297073,-0.0814696443195147,-1.6769022858044231,-1.979866964009169,-1.823681402786772,3.1044052211847792,3.1813370562860106,3.716637139934949,3.360036660933574,3.026729209542143
sven-ulreich,1.0,5,3,17,14.0,30/06/2025,500000.0,01/07/2021,NULL,1.0,-1.1590515341573402,-0.5928648096403488,-0.246490430583512,-1.0650804893602883,-2.116411345454865,-1.84109575571546,-2.523361403573406,-2.294247849949166,-1.7434944669090149,-2.4673369385610906,-2.180552526152674,-1.703928484234707,-2.163560297675235,-2.488896779609439,-1.720380864681039,-1.845586801538559,-2.029304327500484,0.1458917083418399,-1.6976378894708632,-1.4737935271110532,-1.2039024438607608,-2.383637939384936,-0.5289762008091169,-1.970345547300604,-2.124219843288358,-1.8131574074612056,2.7214282225811823,-1.5108521633530427,-1.7068267777570896,-1.964171508846121,-1.721064143549599,-1.6400573107053846,-1.6953896582810744,2.718349191357456,2.5806667048763483,2.284244062116499,2.7214282225811823,2.743393627261284
Matěj Kovář,76.0,307,3,16,NULL,30/06/2027,7000000.0,15/08/2023,-0.541535920730703,1.0,-2.1316866581430305,-1.5666972440950555,0.2728012068817497,0.5400845202251955,-2.0672266393564294,-1.9780331408543577,-2.372610961269753,-1.6883156424196302,-1.8912794065024987,-2.029948571367932,-1.440063522179721,-1.9130918550776204,-0.8383690138188827,-1.770869309192707,-2.70393024610505,-2.045003343513134,-2.365816719298786,-0.506653504303553,-2.8137217053046184,-0.5303711150936786,-1.7684669496312295,-2.446194922985333,-1.2172096132591783,-2.2008477997394365,-1.9569900407873853,-1.6393701315093208,2.967046852716717,-0.4409378443303735,-2.116573845927152,-0.4237790742334431,-1.8977115745303028,-1.809962137357277,-1.8664453176220048,2.718349191357456,2.981113605816123,3.10275439229847,2.967046852716717,2.743393627261284
niklas-lomb,1.0,5,3,16,NULL,30/06/2027,250000.0,01/07/2012,NULL,1.0,NULL,NULL,-1.458170918002456,-2.4695998727475867,-2.0672266393564294,-1.6128667804839625,-2.1716103715315502,-2.832854256642087,-1.6449711738466917,-2.418738231095184,-1.9337228581616897,-1.808510169656164,-2.0310411692896,-2.599362544288936,-1.917090740965841,-1.9120589821967504,-1.288977065544218,-1.0286896744198677,-1.631985900304172,-1.3951749927762718,-1.1098083595656825,-1.69551111978057,-0.0988303180278283,-1.970345547300604,-2.012733308287709,-1.682816950497292,2.230190962310112,-2.580766482375712,-2.175109141380018,-2.648790368673977,-1.721064143549599,-1.894914550683223,-1.6098618286106092,2.428807168986964,2.0300522160841576,2.3865578533892453,2.230190962310112,2.4600580449804244
gregor-kobel,86.0,335,3,20,NULL,30/06/2028,40000000.0,01/07/2021,NULL,1.0,0.3971646642197643,0.8949347429987867,2.0037733317659554,2.1452495298106795,-2.1655960515533006,-1.9323873458080585,-2.272110666400652,-1.9576188457660904,-1.8912794065024987,-1.9327511564361184,-2.131186592554477,-1.860801012366892,-1.9647816050967823,-1.826102191532456,-1.917090740965841,-1.0479206336402591,-1.962001849140823,1.5814911761617043,-2.354157781137778,-1.3951749927762718,-0.1688675166149007,-2.321080955784539,1.0195489772035218,-2.01644599778837,-2.1799631107886825,-1.8131574074612056,3.360036660933574,-0.2982826017940176,-2.29217973228575,-0.1670470017979968,-1.765226001294775,-1.7674859306943038,-1.6526257434458418,3.345690239826856,3.2814487815209543,2.3865578533892453,3.360036660933574,3.2628421947761925
Marcel Laurenz Lotka,1.0,30,3,20,NULL,30/06/2025,1300000.0,01/07/2022,-0.6654393154216833,1.0,0.2026376394226262,0.4686125439152817,1.311384481812273,0.740730146423381,0.9822251387465696,1.125880922294003,0.0896462630232386,1.0047163910449743,1.7048207902722845,0.7401777541887437,1.0282331577301231,1.590394606541174,1.2156774761584637,0.8250761607754767,0.5745676919749862,0.015634256890807,0.7973997636052575,1.5814911761617043,0.8627896880301041,1.6709478462801952,-0.1688675166149007,1.056996158636893,0.5894030944222333,1.348886887818585,0.8859166017291541,1.0977794647328667,-0.1277478869910261,1.2709250661058973,1.6882203585091389,1.3733454328146806,0.9286473211609588,0.908515089072998,0.6993895724919506,-0.3218420435327115,-0.2224616017020763,-0.1712869284294138,-0.1277478869910261,-0.2316299866877389
Alexander Niklas Meyer-Schade,1.0,5,3,20,NULL,30/06/2026,800000.0,01/07/2022,-0.626719504580752,1.0,-1.4508420713530474,-0.912065440933836,0.0997039943933291,-0.6637892369639175,-2.1655960515533006,-2.0236789359006573,-2.372610961269753,-2.4962252524590114,-2.088325992627144,-2.272942108697464,-2.180552526152674,-1.9653826977883488,-2.229819861868053,-2.6545954266286844,-1.8515207822042403,-1.5132258982476008,-2.9715390245357307,0.2764007508709185,-2.354157781137778,-0.5303711150936786,-0.4511497695001353,-3.0092077753889046,0.8474906240910064,-2.062546448276137,-2.291449645789331,-2.073838321389033,2.770551948608289,-1.9388178909621103,-2.29217973228575,-2.648790368673977,-1.5444167125688952,-1.979866964009169,-1.9092092324572367,2.6218351839006253,2.680778430111292,3.153911287934843,2.770551948608289,2.743393627261284
