Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,overallrating,shotpower,gk_kicking,gk_reflexes,gk_diving,gk_handling,gk_positioning,reactions,longshots,ballcontrol,volleys,positioning,finishing,potential,crossing,Valor de mercado actual (numérico),Cluster,Valor_Predicho
hugo-barbet,32.0,140,3,37,,30/06/2026,06/07/2023,-0.6615673343375902,-2.323656980444559,-1.7096491301153969,2.1307733752073794,2.176722462699565,2.139265146616472,2.0300522160841576,1.9354486061474696,-1.9422529721234176,-2.2008477997394365,-2.6545954266286844,-2.1375876391583057,1.9354486061474696,-2.0693247309469567,-2.068308620351216,-2.313150169848607,100000.0,0,148038.86534419982
alban-lafont,9.0,144,3,37,,30/06/2027,01/07/2021,,0.0997039943933291,-1.0807008554371471,2.642342331571111,2.9795066124953333,2.57357818017221,2.6307225674938204,2.868799400662504,-0.3761444617744744,-2.062546448276137,-3.1516913676864218,-1.94054105303366,2.868799400662504,-2.114970525993256,-0.2624979845675464,-2.1655960515533006,4000000.0,1,3748224.459386416
karl-johan-johnsson,85.0,327,3,74,,30/06/2026,16/08/2024,,-0.9388792805371944,-1.2379379241067094,2.540028540298365,2.4128354479336145,2.428807168986964,2.4805549796414046,2.5740570444998614,-1.0286896744198677,-1.8320441958373044,-2.544129661949188,-1.4971862342532076,2.5740570444998614,-1.84109575571546,-1.8676629941530305,-2.0672266393564294,400000.0,0,405395.33623684756
علاء بلعروش,60.0,252,3,74,,30/06/2027,01/07/2022,-0.6654393154216833,-1.1119764930256149,-1.0020823211023655,2.6934992272074845,2.4128354479336145,2.57357818017221,2.280331529171517,2.475809592445647,-1.420216802007103,-2.062546448276137,-2.544129661949188,-2.1375876391583057,2.475809592445647,-2.114970525993256,-0.6637892369639175,-2.313150169848607,500000.0,0,534917.400836663
guillaume-restes,32.0,149,3,96,14.0,30/06/2028,01/07/2023,,0.6189956318585909,-0.4517525807588974,3.2050681835712163,2.9322840154485235,2.9113772062711174,2.830946017963708,2.917923126689611,0.0153826658127613,-2.15474734925167,-2.765061191308181,-2.039064346095983,2.917923126689611,-1.9780331408543577,1.9446039036124936,-1.9688572271595584,20000000.0,2,22020488.016949132
justin-lacombe,32.0,140,3,96,,30/06/2026,01/07/2023,,-1.9774625554677177,-1.4737935271110532,2.284244062116499,2.3183902538399948,2.187522150344887,2.230275666554045,2.230190962310112,-3.508361482472361,-2.246948250227203,-2.985992720667176,-2.1375876391583057,2.230190962310112,-2.1606163210395555,-1.4663717417566593,-2.214780757651736,50000.0,0,175532.57680434978
benjamin-lecomte,32.0,140,3,56,,30/06/2027,26/01/2023,-0.3711687530306051,0.0997039943933291,-0.7662267180980222,2.9492837053893504,2.743393627261284,2.8148631988142867,2.730834292728764,2.7214282225811823,-0.1151263767163172,-2.01644599778837,-2.4336638972696902,-1.8912794065024987,2.7214282225811823,-1.8867415507617589,-0.6637892369639175,-2.1655960515533006,2000000.0,1,3389751.2130294684
dimitry-bertaud,32.0,304,3,56,11.0,30/06/2025,01/07/2017,,-0.246490430583512,-0.9234637867675848,2.795813018480231,2.6017258361208544,2.718349191357456,2.5806667048763483,2.7214282225811823,-0.3761444617744744,-1.601541943398472,-2.3231981325901927,-1.447924587722046,2.7214282225811823,-1.704158370576561,-0.2624979845675464,-2.116411345454865,1200000.0,1,3742812.8185805785
Belmin Dizdarević,7.0,53,3,56,8.0,30/06/2028,07/07/2023,-0.6654393154216833,-2.323656980444559,-1.866886198784959,1.97730268829826,2.271167656793185,2.187522150344887,2.0300522160841576,2.1810672362830053,-4.030397652588675,-2.2008477997394365,-3.0412256030069247,-2.088325992627144,2.1810672362830053,-2.114970525993256,-1.6670173679548448,-2.2639654637501714,150000.0,0,121877.79075477784
alexandre-olliero,32.0,140,3,92,,30/06/2026,31/01/2023,-0.626719504580752,-1.1119764930256149,-1.2379379241067094,2.488871644661992,2.4600580449804244,2.428807168986964,2.280331529171517,2.4266858664185404,-1.0286896744198677,-1.693742844374005,-2.157499485570947,-1.3986629411908846,2.4266858664185404,-1.6128667804839625,-1.6670173679548448,-2.0672266393564294,300000.0,0,429285.7230032468
ludovic-butelle,32.0,140,3,92,14.0,30/06/2025,01/07/2023,-0.6731832775898695,-1.6312681304908767,-1.4737935271110532,2.284244062116499,2.176722462699565,2.187522150344887,2.4805549796414046,2.4266858664185404,-1.6812348870652605,-1.9242450968128373,-2.4336638972696902,-1.792756113440176,2.4266858664185404,-1.8867415507617589,-2.670245498945772,-2.2639654637501714,100000.0,0,212712.13972654776
raphael-adiceam,32.0,140,3,6,,30/06/2025,21/09/2023,-0.6693112965057764,-2.6698514054214,-1.7882676644501778,2.0284595839346333,1.893386880418706,2.139265146616472,2.1301639413191014,2.082819784228791,-3.63887052500144,-2.246948250227203,-2.930759838327427,-1.94054105303366,2.082819784228791,-2.114970525993256,-3.874119256134885,-2.214780757651736,50000.0,0,87842.01487620873
tom-negrel,32.0,140,3,6,,30/06/2026,10/07/2024,,-2.6698514054214,-1.6310305957806157,2.1819302708437527,2.0822772686059454,1.8497231242459795,1.979996353466686,2.131943510255898,-2.9863253123560463,-2.062546448276137,-3.096458485346673,-2.1375876391583057,2.131943510255898,-2.2519079111321543,-1.6670173679548448,-2.2639654637501714,0.0,0,102725.55414310918
mathieu-gorgelin,32.0,140,3,51,,30/06/2025,01/07/2019,,-0.5926848555603532,-1.1593193897719285,2.591185435934738,2.507280642027234,2.428807168986964,2.5806667048763483,2.6231807705269685,-0.2456354192453958,-1.7398432948617717,-2.930759838327427,-1.8912794065024987,2.6231807705269685,-1.79544996066916,-1.4663717417566593,-2.2639654637501714,200000.0,0,483016.35229064024
arthur-desmas,32.0,140,3,51,,30/06/2025,01/07/2022,-0.5879996937398206,-0.4195876430719326,-1.0020823211023655,2.6934992272074845,2.6489484331676643,2.6700921876290407,2.5806667048763483,2.5740570444998614,-0.2456354192453958,-1.693742844374005,-2.6545954266286844,-1.6942328203778532,2.5740570444998614,-1.5672209854376629,-1.2657261155584738,-1.9196725210611232,1500000.0,1,1897257.1004235009
gautier-larsonneur,32.0,140,3,9,,30/06/2026,06/01/2023,-0.4486083747124678,-0.0733932180950914,-0.9234637867675848,2.795813018480231,2.696171030214474,2.6218351839006253,2.730834292728764,2.7214282225811823,-0.2456354192453958,-1.9242450968128373,-2.378431014929941,-1.3986629411908846,2.7214282225811823,-1.5215751903913637,-0.4631436107657319,-1.9196725210611232,3500000.0,1,3311382.274043434
brice-maubleu,32.0,140,3,9,,30/06/2026,21/08/2024,-0.6538233721694039,-0.7657820680487738,-1.2379379241067094,2.488871644661992,2.507280642027234,2.47706417271538,2.4805549796414046,2.5740570444998614,-0.6371625468326316,-1.693742844374005,-2.930759838327427,-1.6449711738466917,2.5740570444998614,-1.79544996066916,-1.6670173679548448,-2.214780757651736,300000.0,0,443406.1519638017
boubacar-fall,81.0,312,3,9,,30/06/2025,05/01/2021,,-1.9774625554677177,-1.4737935271110532,2.335400957752872,2.223945059746375,2.2357791540733025,2.280331529171517,2.131943510255898,-2.855816269826968,-2.15474734925167,-3.096458485346673,-1.94054105303366,2.131943510255898,-2.0236789359006573,-1.6670173679548448,-2.214780757651736,100000.0,0,169455.10361348203
yahia-fofana,32.0,90,3,10,,30/06/2026,01/07/2022,-0.5260479963943305,0.0997039943933291,-1.0807008554371471,2.642342331571111,2.837838821354904,2.863120202542702,2.6307225674938204,2.7214282225811823,-0.3761444617744744,-2.2008477997394365,-3.0412256030069247,-2.088325992627144,2.7214282225811823,-2.1606163210395555,0.33943889402701,-2.2639654637501714,6000000.0,1,4785801.547108969
melvin-zinga,32.0,86,3,10,,30/06/2026,01/07/2022,,-1.6312681304908767,-1.0807008554371471,2.642342331571111,2.4128354479336145,2.284036157801718,2.4805549796414046,2.279314688337219,-3.377852439943282,-2.246948250227203,-2.709828308968433,-2.088325992627144,2.279314688337219,-2.0693247309469567,-1.0650804893602883,-2.116411345454865,250000.0,0,292575.96856148366
