Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,overallrating,shotpower,gk_kicking,gk_reflexes,gk_diving,gk_handling,gk_positioning,reactions,longshots,ballcontrol,volleys,positioning,finishing,potential,crossing,Valor de mercado actual (numérico),Cluster,Valor_Predicho
juan-carlos,28.0,113,3,43,,30/06/2025,01/07/2019,,-0.246490430583512,-0.9234637867675848,2.795813018480231,2.6017258361208544,2.6218351839006253,2.780890155346236,2.6231807705269685,-0.6371625468326316,-1.785943745349538,-2.488896779609439,-1.6449711738466917,2.6231807705269685,-1.749804165622861,-1.0650804893602883,-1.280271341781462,100000.0,1,2209630.2448993973
გიორგი მამარდაშვილი,36.0,178,3,101,,30/06/2025,28/08/2024,,1.830676119277535,-0.9234637867675848,2.795813018480231,3.168397000682573,3.2974332360984406,3.2814487815209543,3.310912934906467,0.2764007508709185,-2.15474734925167,-2.488896779609439,-2.039064346095983,3.310912934906467,-1.9780331408543577,1.9446039036124936,-2.1655960515533006,30000000.0,2,24171286.004199322
Столе Димитриевски,58.0,247,3,101,,30/06/2026,01/07/2024,,0.7920928443470114,-0.7662267180980222,2.898126809752977,2.837838821354904,2.9596342099995328,3.0311694684335952,2.917923126689611,0.6679278784581544,-1.693742844374005,-2.6545954266286844,-1.6449711738466917,2.917923126689611,-1.475929395345064,0.1387932678288245,-2.2639654637501714,3000000.0,1,4219030.03874001
Jaume Doménech Sánchez,28.0,113,3,101,1.0,30/06/2025,01/07/2015,,-0.4195876430719326,-0.8448452524328034,2.8469699141166043,2.6489484331676643,2.5253211764437946,2.730834292728764,2.5740570444998614,-0.2456354192453958,-1.9242450968128373,-1.9365679562119529,-1.4971862342532076,2.5740570444998614,-1.8867415507617589,-1.2657261155584738,-1.3294560478798976,600000.0,1,2088641.4948235336
Sergio Herrera Pirón,28.0,113,3,24,,30/06/2026,12/07/2017,,0.7920928443470114,-0.7662267180980222,2.9492837053893504,2.9322840154485235,2.9596342099995328,3.0311694684335952,2.917923126689611,0.6679278784581544,-1.8320441958373044,-2.212732367910696,-1.5957095273155304,2.917923126689611,-1.6585125755302617,0.1387932678288245,-1.821303108864252,4000000.0,1,4332149.3262400385
Aitor Fernández Abarisketa,28.0,113,3,24,,30/06/2027,02/07/2022,-0.4873281855533991,0.4458984193701703,-1.1593193897719285,2.591185435934738,2.9322840154485235,2.863120202542702,2.830946017963708,2.868799400662504,0.5374188359290758,-1.9242450968128373,-2.930759838327427,-1.6449711738466917,2.868799400662504,-1.84109575571546,-0.2624979845675464,-1.3294560478798976,1500000.0,1,3113240.4092861703
Daniel Cárdenas Lindez,28.0,113,3,76,,30/06/2027,18/08/2023,-0.5260479963943305,0.0997039943933291,-0.8448452524328034,2.8469699141166043,2.743393627261284,2.718349191357456,2.780890155346236,2.8196756746353966,0.2764007508709185,-2.246948250227203,-2.82029407364793,-1.9898026995648217,2.8196756746353966,-2.1606163210395555,-0.0618523583693609,-2.313150169848607,1800000.0,1,4144621.9061799496
Augusto Martín Batalla Barga,5.0,46,3,76,,30/06/2025,23/08/2024,-0.2162895096668798,0.4458984193701703,-0.7662267180980222,2.898126809752977,2.837838821354904,2.863120202542702,2.9310577431986515,2.868799400662504,0.4069097933999971,-1.785943745349538,-2.212732367910696,-1.7434944669090149,2.868799400662504,-1.749804165622861,-0.0618523583693609,-1.9688572271595584,6000000.0,1,4113113.6256795027
Vicente Guaita Panadero,28.0,113,3,69,9.0,30/06/2025,01/09/2023,-0.6034876180761931,0.4458984193701703,-0.6089896494284598,3.051597496662097,2.790616224308094,2.863120202542702,2.981113605816123,2.868799400662504,0.2764007508709185,-1.785943745349538,-2.378431014929941,-1.7434944669090149,2.868799400662504,-1.8867415507617589,-0.2624979845675464,-1.2310866356830266,800000.0,1,3525501.937365732
Iván Villar Martínez,28.0,113,3,69,,30/06/2027,01/07/2019,-0.5879996937398206,-0.0733932180950914,-1.0020823211023655,2.7446561228438577,2.743393627261284,2.6700921876290407,2.730834292728764,2.770551948608289,0.0153826658127613,-1.785943745349538,-2.765061191308181,-1.792756113440176,2.770551948608289,-1.84109575571546,-0.0618523583693609,-2.1655960515533006,900000.0,1,3876007.9811079064
Leonardo Román Riquelme,28.0,113,3,73,,30/06/2026,01/07/2022,-0.541535920730703,-0.0733932180950914,-0.9234637867675848,2.795813018480231,2.696171030214474,2.6700921876290407,2.830946017963708,2.5740570444998614,0.0153826658127613,-2.01644599778837,-2.709828308968433,-1.8912794065024987,2.5740570444998614,-1.84109575571546,0.740730146423381,-2.116411345454865,2500000.0,1,5052368.725729278
Iván Cuéllar Sacristán,28.0,113,3,73,,30/06/2025,28/08/2023,-0.6731832775898695,-1.2850737055140355,-1.3951749927762718,2.3865578533892453,2.3183902538399948,2.284036157801718,2.4805549796414046,2.3775621403914333,-0.7676715893617102,-1.9242450968128373,-2.985992720667176,-1.546447880784369,2.3775621403914333,-1.704158370576561,-2.2689542465494013,-1.378640753978333,100000.0,0,319825.91915680014
Ørjan Håskjold Nyland,65.0,267,3,88,,30/06/2026,20/08/2023,-0.6344634667489382,0.2728012068817497,-0.6089896494284598,3.051597496662097,2.696171030214474,2.8148631988142867,2.8810018805811795,2.770551948608289,0.1458917083418399,-1.878144646325071,-2.4336638972696902,-1.6942328203778532,2.770551948608289,-1.8867415507617589,-0.4631436107657319,-2.214780757651736,1000000.0,1,3626210.758215016
Álvaro Fernández Llorente,28.0,113,3,88,,30/06/2025,12/08/2024,-0.4873281855533991,-0.0733932180950914,-1.1593193897719285,2.591185435934738,2.743393627261284,2.766606195085872,2.680778430111292,2.7214282225811823,0.2764007508709185,-2.246948250227203,-2.157499485570947,-2.088325992627144,2.7214282225811823,-2.0236789359006573,-0.0618523583693609,-2.362334875947042,2500000.0,1,4327551.014539535
